Tolomeo Valentini
Adolfo Fabbri
Cecco Celi
Ranolfo Cosentino
Agesilao Luppi
Taziano Impellizzeri
Valtena Bartoli
Cesario Crimi
Verano Terzi
Caino Giuliano
Italo Proietti
Silvestro Guastella
Acacio Silenzi
Pacifico Capizzi
Pancario Iuliano
Rolfo Carriero
Ariosto Manna
Ciriaco Grillo
Fabrizio Capecchi
Salvo Pasquini
Porfirio Chianese
Bindo Picchi
Colmanno Giacalone
Atanasio Antezza
Gerino Platania
Agenore Iuliano
Almiro Matta
Zenebio Huber
Temistocle Campo
Angelo Piscopo
Elogio Battista
Zanobi Russo
Gioele Bono
Giuda Marcon
Ulisse Zaccaria
Gianfranco Berto
Antimo Sepe
Liberatore De Martino
Amico Bellini
Olimpio Gusmeroli
Bellino Narciso
Gioacchino Ruggiero
Ugo Randazzo
Cecco D'Amato
Folco Cocco
Nico Ercoli
Servidio De Simone
Richelmo Scanu
Efisio Gentile
Zenobio Fiorentino
Casto Ciuffetelli
Aris Maresca
Narseo Dodaro
Gaetano Angeletti
Semplicio Fortugno
Aladino Veronese
Ariberto Gioacchini
Emiliano Tofani
Marolo Perri
Fermo Cremona
Corbiniano Cecchi
Melanio Perilli
Leone Martinelli
Evremondo Cascone
Fiorenziano Santi
Romero Di Iorio
Sesto Bovolenta
Saturnino Di Paolo
Mirco D'Elia
Silvano Costa
Apollinare Scarano
Otello Corti
Cirillo Cappiello
Galeazzo Bono
Cleandro Di Donato
Orso Panaro
Tesauro Paolini
Alighiero Curcio
Luciano Festa
Lino Cardella
Sarbello Adamo
Agamennone Luppino
Vilfredo Cicatiello
Gaudenzio Verde
Ireneo Giannetti
Moreno Belmonte
Fleano D'Alessandro
Manlio Spadoni
Bindo D'Alessio
Regolo Torresi
Demetrio Rota
Zabedeo Saporito
Ovidio Usai
Gerardo Ciacio
Tancredi Gamberini
Prospero Sacchet
Gioberto Prisco
Teogene Bodini
Patroclo Torrisi
Orazio Bisio
Telchide Ferracuti
Erenia Cecere
Benvenuto Saporito
Pancrazio Mazzoleno
Walter Chimenti
Coreno Di Natale
Elvezio Fumarola
Coriolano De Salvo
Immacolato Di Francesco
Graziano Chiaravalle
Giuseppe Sarnataro
Settimio Pasquini
Senofonte Paolini
Giandomenico Masucci
Leonida Fabbri
Clinio Ceccarini
Grimaldo Pircher
Orio Longhi
Alceo Balzano
Gianmario Patrone
Oliviero Medici
Enea Pierro
Vladimiro Capraro
Rodrigo Casula
Zeno Cellini
Rosario Palmisani
Eufemio Di Paola
Manetto Giansante
Lancilotto Zappacosta
Iginio Santori
Elita Sartori
Aristeo Candido
Desiderio Stigliano
Silvestro Brizzi
Verano Francese
Riccardo Caputo
Onesto Marcucci
Asterio Oliveri
Giovanni Montalto
Ascanio Iacono
Augusto Cesaretti
Oscar Nazzaro
Vittore Lo Iacono
Venusto Pini
Alviero Pili
Battista Palazzi
Apuleio Govoni
Ovidio Marchesini
Giandomenico Madonna
Valtena Liotta
Eraldo Polese
Alviero Santangelo
Onesto Anzalone
Barsimeo Salerno
Tristano Montalto
Dario Benigni
Generoso Babini
Terenzio Izzi
Vitale Califano
Protasio Vassallo
Marzio Puleo
Abbondio Cucciniello
Desiderio Bini
Ulberto Borrelli
Zeno Santarsia
Dino Fonda
Ranolfo Belli
Edilberto De Giorgi
Amatore Romagnoli
Cherubino Canepa
Gonzaga Mauro
Remondo Lanteri
Basilio Peroni
Agenore Rinaldi
Ercolano Politi
Livio Sforza
Zaccheo Passero
Eros Moretto
Rufo Zanatta
Gosto Sardella
Ticone Palazzi
Amatore Demurtas
Tosco Viale
Callisto Angelini
Spartaco De Palma
Durante Mingarelli
Quintino Amici
Orio Rocca
Sabato Cavalli
Sostrato Pastorelli
Valfrido Cappiello
Ignazio Mulè
Vedasto D'Incà
Uranio Bergamasco
Ubaldo De Martino
Alamanno Fabiani
Otello Rocca
Gioventino Siri
Gilberto Rucco
Ireneo Chirico
Varo Rondoni
Priamo D'Incà
Egeo Pasini
Lazzaro Gigliotti
Muziano Cecchi
Vindonio Polese
Zoilo Balestra
Orenzio Caruso
Cupido Girone
Ulpiano Ambrosini
Bassiano Farina
Venceslao Lodi
Vittoriano Visentin
Diogene Leopardi
Prospero Santoro
Birino Zucca
Innocente Sforza
Cecco Liccardo
Piergiorgio Granà
Loris Torchia
Narciso Palermo
Aidano Brambilla
Pasquale De Bonis
Amadeo Padula
