Giuda Tallarico
Dino Foschi
Venerando Spadoni
Michele Simoni
Astianatte Bonini
Aniceto Marchini
Sidonio Scano
Quintino Cappelli
Gaetano Cerise
Gervasio Panzeri
Eriberto Travaglini
Sabazio Baldassarre
Prospero Gabrielli
Vittoriano Fava
Colmanno Pacifici
Otello Di Grezia
Iacopo Colucci
Leopardo Daidone
Siro Gruppuso
Iago Pitzalis
Matroniano Panaro
Geronimo De Masi
Eufebio Ferraro
Lamberto Vicini
Vidone Mordenti
Graciliano Crea
Onorino Iodice
Orazio Nocera
Alcide Tedesco
Secondo Longhi
Plutarco Bentivoglio
Siricio Stabile
Savino Corti
Carlo Carrozzo
Euseo Zaccaria
Ardito Boccia
Lanfranco Ruggeri
Ettore Pierro
Angelo Di Cesare
Gabriele Buzzi
Aldobrando Dominici
Guglielmo Capasso
Alano Rossetti
Gennaro Fiorentino
Remigio Marcelli
Manetto Guarino
Uberto Notaro
Fermiano Di Bella
Alberico Paci
Servidio Vitale
Rufino Siciliano
Genziano Fiore
Rodiano Catanzaro
Isaia De Carolis
Richelmo Paolicelli
Danio Cordioli
Vito Celli
Massimo Re
Nico Serr
Vilfredo Loreto
Diomede Girone
Melezio Molinari
Vespasiano Zanetta
Valfredo Di Natale
Golia Pucci
Domezio Magi
Albano Fiorucci
Serviliano Nicotra
Giosuè Cattaneo
Giuliano Gori
Priamo Grande
Nereo Ambrosini
Mercurio Critelli
Frontiniano Polidori
Michele Di Liberto
Innocente Manna
Guiberto Palmisani
Fleano Doria
Davide Guarneri
Enea Malavasi
Ansaldo Argento
Sirio Cremona
Vindonio Grieco
Agrippa Caforio
Domezio Molinari
Pellegrino Bellucci
Ursmaro Fumagalli
Leo Bonanno
Lavinio Catalano
Coriolano Cifarelli
Dante Putzolu
Lanfranco Lo Giudice
Calcedonio Tesi
Quirino De Maio
Ilario Tralli
Metrofane Pacini
Severiano Nobili
Isacco Coletta
Rolando Papapietro
Severino De Giorgio
Pericle Caputo
Tarso Vannini
Narseo Pellegrini
Graciliano Sardina
Nicodemo Bruno
Aris Pugliesi
Golia Franco
Iacopo Siri
Alfonso De Cicco
Beniamino Damico
Nazzaro Pignatelli
Neoterio Forgione
Igino Mascia
Ercole Bergamasco
Gianuario Papini
Azelio Mottola
Terenzio Magi
Gabino Fontana
Sirio Volpe
Vodingo Spizzirri
Evaristo Salvadori
Mirco Franzoni
Priamo Ruotolo
Giocondo Donati
Geronimo Russo
Ciro Caserta
Eufemio Gurrieri
Bonavita Renna
Arduino Senatore
Emmerico Costantin
Crocefisso Ferrari
